,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
1720,Bologna FC 1909,Defender Left-Back,183.0,23.0,62,0.021459227,0.150214592,0.107296137,0.021459227,0.0,0.0,0.0,4194,0,0,1,6500000,6500000
1721,Bologna FC 1909,Defender Left-Back,182.0,27.0,56,0.024311183,0.218800648,0.267423015,0.0,0.024311183,0.0,0.0,3702,24,4,0,5000000,5000000
1722,Bologna FC 1909,Defender Left-Back,190.0,29.0,54,0.082191781,0.0,0.136986301,0.0,0.0,0.0,0.0,3285,211,33,4,1500000,2500000
1723,Bologna FC 1909,Defender Right-Back,190.0,26.0,64,0.139399806,0.034849952,0.20909971,0.017424976,0.0,0.0,0.0,5165,241,30,0,10000000,14000000
1724,Bologna FC 1909,Defender Right-Back,186.0,35.0,48,0.117073171,0.058536585,0.234146341,0.0,0.0,0.0,0.0,3075,241,39,1,600000,6000000
1725,Bologna FC 1909,midfield-DefensiveMidfield,185.0,26.0,54,0.021387833,0.085551331,0.128326996,0.021387833,0.0,0.0,0.0,4208,232,35,0,8500000,9000000
1726,Bologna FC 1909,midfield-DefensiveMidfield,185.0,25.0,68,0.059471366,0.178414097,0.099118943,0.019823789,0.0,0.0,0.0,4540,199,30,6,7000000,9000000
1727,Bologna FC 1909,midfield-DefensiveMidfield,171.0,35.0,65,0.0,0.04040404,0.262626263,0.02020202,0.0,0.0,0.0,4455,393,60,3,1000000,13000000
1728,Bologna FC 1909,midfield-DefensiveMidfield,178.0,18.0,65,0.199195171,0.144869215,0.072434608,0.0,0.0,0.0,0.0,4970,0,0,1,250000,250000
1729,Bologna FC 1909,midfield-CentralMidfield,179.0,24.0,63,0.078499782,0.098124727,0.353249019,0.0,0.0,0.0,0.0,4586,163,23,1,15000000,17500000
1730,Bologna FC 1909,midfield-CentralMidfield,181.0,23.0,78,0.328989193,0.014303878,0.243165925,0.0,0.0,0.0,0.0,6292,82,14,0,9000000,9000000
1731,Bologna FC 1909,midfield-CentralMidfield,183.0,26.0,74,0.110105212,0.220210423,0.308294593,0.0,0.0,0.0,0.0,4087,174,18,5,3500000,5500000
1732,Bologna FC 1909,midfield-CentralMidfield,186.0,19.0,52,0.147299509,0.196399345,0.098199673,0.0,0.0,0.0,0.0,3666,89,13,0,500000,500000
1734,Bologna FC 1909,midfield-AttackingMidfield,182.0,32.0,66,0.042826552,0.149892934,0.107066381,0.021413276,0.021413276,0.0,0.0,4203,181,29,0,3500000,16000000
1737,Bologna FC 1909,Attack-RightWinger,183.0,26.0,64,0.39425651,0.175225116,0.175225116,0.021903139,0.021903139,0.0,0.0,4109,120,13,2,10000000,25000000
1743,AC Monza,Goalkeeper,184.0,28.0,40,0.0,0.0,0.075,0.0,0.0,1.825,0.05,3600,274,39,2,4000000,20000000
1746,AC Monza,Defender Centre-Back,182.0,27.0,52,0.0,0.0,0.325633176,0.025048706,0.025048706,0.0,0.0,3593,191,25,2,7500000,10000000
1747,AC Monza,Defender Centre-Back,193.0,29.0,49,0.064439141,0.0,0.150357995,0.0,0.021479714,0.0,0.0,4190,349,57,3,5000000,7000000
1748,AC Monza,Defender Centre-Back,186.0,32.0,59,0.03900325,0.0,0.214517876,0.0,0.019501625,0.0,0.0,4615,439,60,2,1000000,4000000
1752,AC Monza,Defender Left-Back,184.0,24.0,74,0.126443959,0.084295973,0.126443959,0.014049329,0.0,0.0,0.0,6406,19,3,0,8000000,8000000
1753,AC Monza,Defender Left-Back,190.0,20.0,53,0.052068267,0.28637547,0.338443737,0.0,0.0,0.0,0.0,3457,0,0,1,1000000,1000000
1754,AC Monza,Defender Right-Back,176.0,23.0,74,0.019271949,0.13490364,0.366167024,0.0,0.0,0.0,0.0,4670,0,0,0,2300000,2500000
1756,AC Monza,midfield-DefensiveMidfield,179.0,21.0,52,0.026501767,0.159010601,0.344522968,0.0,0.026501767,0.0,0.0,3396,170,28,0,12000000,12000000
1757,AC Monza,midfield-DefensiveMidfield,177.0,29.0,50,0.052478134,0.052478134,0.131195335,0.0,0.0,0.0,0.0,3430,67,10,0,900000,2000000
1758,AC Monza,midfield-CentralMidfield,187.0,26.0,73,0.127814973,0.073037127,0.109555691,0.0,0.0,0.0,0.0,4929,124,17,1,14000000,20000000
1759,AC Monza,midfield-CentralMidfield,168.0,27.0,53,0.171755725,0.06870229,0.309160305,0.0,0.0,0.0,0.0,2620,371,57,3,8000000,30000000
1760,AC Monza,midfield-CentralMidfield,184.0,24.0,67,0.279889426,0.124395301,0.155494126,0.0,0.0,0.0,0.0,2894,17,3,2,2500000,2500000
1761,AC Monza,midfield-CentralMidfield,186.0,22.0,48,0.057933698,0.115867396,0.231734792,0.0,0.0,0.0,0.0,3107,111,16,2,1800000,1800000
1762,AC Monza,midfield-CentralMidfield,187.0,29.0,50,0.444528875,0.136778116,0.30775076,0.0,0.0,0.0,0.0,2632,163,24,0,1700000,2500000
1763,AC Monza,midfield-CentralMidfield,184.0,26.0,57,0.152439024,0.182926829,0.396341463,0.0,0.0,0.0,0.0,2952,51,8,2,1500000,2600000
1765,AC Monza,Attack-RightWinger,178.0,28.0,76,0.205650187,0.261736602,0.168259244,0.0,0.0,0.0,0.0,4814,18,5,2,3500000,3500000
1767,AC Monza,Attack-SecondStriker,171.0,29.0,74,0.3060068,0.1530034,0.187004156,0.0,0.0,0.0,0.0,5294,323,48,3,9000000,10000000
1769,AC Monza,Attack Centre-Forward,180.0,25.0,62,0.346624377,0.183507023,0.142727685,0.0,0.0,0.0,0.0,4414,57,11,3,5500000,6000000
1771,AC Monza,Attack Centre-Forward,188.0,28.0,37,0.336162988,0.152801358,0.030560272,0.0,0.0,0.0,0.0,2945,0,0,3,1000000,4500000
